Team,GP,W,L,Win%,MIN,PTS,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OR,DR,REB,AST,TO,STL,BLK,BLKA,PF,PFD,+/-,PTSA
Utah Jazz,60,44,16,.733,48.3,116.5,41.2,88.3,46.6,16.9,43.3,39.0,17.3,21.8,79.4,10.6,37.8,48.3,23.7,14.1,6.5,5.4,3.9,18.9,19.3,9.2,107.3
Phoenix Suns,60,42,18,.700,48.6,114.3,43.0,88.3,48.7,13.0,34.8,37.3,15.3,18.5,82.8,8.8,34.5,43.3,27.0,13.0,7.2,4.2,3.7,19.4,18.0,5.9,108.1
LA Clippers,62,43,19,.694,48.0,114.9,42.1,87.1,48.3,14.4,34.4,41.9,16.3,19.5,83.4,9.5,34.9,44.4,24.5,13.0,7.1,4.2,4.1,19.5,18.2,6.8,108.1
Brooklyn Nets,61,41,20,.672,48.4,118.8,43.2,87.6,49.4,14.0,36.1,38.9,18.3,22.7,80.5,9.1,35.3,44.3,26.8,13.8,6.8,5.2,4.7,19.0,19.0,4.5,114.3
Denver Nuggets,60,39,21,.650,48.7,115.5,43.5,89.2,48.8,13.1,34.2,38.3,15.3,19.3,79.4,10.7,33.9,44.5,27.2,13.6,8.0,4.6,4.3,18.8,19.1,5.0,110.4
Philadelphia 76ers,60,39,21,.650,48.4,113.2,41.1,86.6,47.4,11.0,29.9,36.9,20.0,26.2,76.4,10.0,35.3,45.3,23.2,14.8,8.9,6.2,4.6,20.4,21.3,4.0,109.2
Milwaukee Bucks,60,37,23,.617,48.2,119.3,44.4,91.5,48.5,14.7,37.3,39.4,15.8,20.9,75.8,10.3,37.9,48.2,25.6,14.1,8.2,4.6,4.9,17.1,18.1,6.4,112.9
Los Angeles Lakers,60,35,25,.583,48.5,109.6,40.6,85.9,47.3,11.2,31.5,35.4,17.3,23.1,74.7,9.5,34.9,44.4,24.5,15.4,7.8,5.3,4.6,19.1,21.2,3.3,106.3
Dallas Mavericks,59,33,26,.559,48.1,111.5,40.7,86.9,46.8,13.7,38.1,35.9,16.4,21.3,77.3,8.8,34.8,43.6,22.5,12.1,6.0,4.4,3.7,19.4,20.4,1.7,109.9
Atlanta Hawks,61,34,27,.557,48.4,113.7,40.6,87.4,46.5,12.7,33.9,37.3,19.8,24.4,81.1,10.6,34.7,45.3,24.1,13.3,7.0,4.7,5.0,19.5,19.9,2.4,111.3
New York Knicks,61,34,27,.557,48.3,106.9,39.4,86.4,45.5,11.5,29.8,38.6,16.7,21.5,77.7,10.2,35.4,45.6,21.2,13.4,7.1,5.0,5.6,20.5,18.1,2.2,104.7
Portland Trail Blazers,60,32,28,.533,48.1,114.4,40.5,91.0,44.5,15.7,41.6,37.7,17.6,21.4,82.4,10.8,33.3,44.1,20.7,11.3,7.1,5.1,4.7,19.1,18.9,-0.5,114.8
Memphis Grizzlies,59,31,28,.525,48.4,114.0,43.3,92.2,47.0,11.2,30.9,36.3,16.2,20.8,77.7,11.1,35.1,46.2,27.1,13.2,9.4,4.6,5.3,18.9,18.2,1.5,112.5
Boston Celtics,61,32,29,.525,48.2,111.9,41.2,88.2,46.7,13.3,35.6,37.3,16.2,20.9,77.6,10.7,33.6,44.3,23.2,14.2,7.7,5.1,4.7,20.1,19.4,1.7,110.2
Miami Heat,61,32,29,.525,48.3,106.4,38.5,83.4,46.1,12.7,36.3,35.0,16.7,21.3,78.7,8.0,33.8,41.8,26.2,14.4,7.8,4.1,4.1,18.9,19.6,-0.7,107.1
San Antonio Spurs,59,30,29,.508,48.4,110.1,41.3,89.9,46.0,10.4,29.1,35.6,17.1,21.8,78.5,9.3,34.8,44.1,24.6,11.6,7.1,5.3,5.1,18.0,18.7,-0.5,110.6
Golden State Warriors,61,31,30,.508,48.1,113.1,41.2,88.4,46.6,14.1,37.8,37.3,16.6,21.3,78.0,8.1,34.8,42.9,27.4,15.0,8.2,4.7,4.6,21.4,19.9,0.0,113.1
Charlotte Hornets,60,30,30,.500,48.2,109.9,40.1,87.5,45.8,14.0,37.1,37.7,15.8,20.5,77.0,10.4,33.2,43.6,26.9,15.1,7.9,4.7,4.6,18.0,18.2,-1.2,111.1
Indiana Pacers,60,29,31,.483,48.5,114.0,42.7,90.9,46.9,12.3,34.4,35.9,16.4,20.8,78.7,9.1,33.4,42.5,26.8,13.5,8.6,6.3,5.3,20.3,18.5,-0.3,114.3
Washington Wizards,60,27,33,.450,48.2,114.4,42.2,89.7,47.0,10.5,29.9,35.0,19.7,25.9,76.0,9.3,35.4,44.7,25.0,14.9,7.4,3.9,4.8,21.7,22.1,-3.3,117.7
New Orleans Pelicans,60,26,34,.433,48.4,115.0,42.6,88.4,48.2,10.7,30.6,34.9,19.1,26.0,73.4,11.6,35.4,47.0,26.1,14.5,7.3,4.3,5.7,17.9,21.3,-0.1,115.1
Chicago Bulls,60,25,35,.417,48.3,111.6,42.5,88.5,47.9,12.5,33.9,36.8,14.3,17.8,80.3,9.4,35.1,44.5,26.8,15.5,6.8,4.2,5.0,19.1,18.0,-1.2,112.8
Toronto Raptors,60,25,35,.417,48.0,111.9,39.6,88.3,44.9,14.9,40.0,37.1,17.8,21.5,82.6,9.3,32.3,41.5,24.2,13.4,8.4,5.7,5.7,21.7,19.8,0.6,111.3
Sacramento Kings,60,24,36,.400,48.1,114.6,42.8,88.7,48.2,12.1,33.2,36.5,17.0,22.9,74.1,9.5,31.9,41.4,25.4,13.2,7.2,4.9,4.5,19.6,19.4,-4.3,118.9
Cleveland Cavaliers,60,21,39,.350,48.4,104.1,39.1,85.9,45.5,9.8,28.7,34.0,16.2,21.8,74.3,10.4,32.1,42.5,24.0,15.4,8.1,4.8,5.7,18.7,20.0,-6.9,111.0
Oklahoma City Thunder,60,20,40,.333,48.3,105.6,38.9,87.6,44.4,12.4,35.8,34.6,15.3,20.9,73.2,9.5,36.0,45.5,22.3,16.0,7.0,4.6,5.0,18.2,18.4,-9.1,114.7
Orlando Magic,60,18,42,.300,48.2,104.3,38.5,89.7,42.9,11.2,32.4,34.5,16.1,20.7,77.5,10.5,34.9,45.4,22.1,12.7,7.1,4.3,5.2,16.9,18.5,-8.4,112.7
Detroit Pistons,61,18,43,.295,48.5,107.5,38.7,86.0,45.0,11.8,33.2,35.5,18.3,23.9,76.9,10.0,33.0,42.9,24.4,14.9,7.6,5.1,5.9,20.8,20.7,-4.0,111.5
Minnesota Timberwolves,61,17,44,.279,48.3,110.7,40.2,90.7,44.4,12.9,36.9,35.0,17.3,22.4,77.2,10.2,32.7,42.9,25.0,14.3,8.8,5.6,5.7,20.8,19.7,-7.2,117.9
Houston Rockets,61,15,46,.246,48.1,107.7,38.9,88.3,44.1,13.4,40.0,33.4,16.5,22.2,74.0,9.2,33.3,42.5,23.0,14.6,7.6,5.2,5.3,19.5,19.6,-7.3,115.0
