Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21,MIA,28,408,15.1,0.599,0,0.541,10.5,19.8,15.4,6.8,1.4,3.8,16.1,19.7,0.3,0.6,0.9,0.101,-2.8,-0.2,-3,-0.1
Steven Adams,C,27,NO,27,760,15.9,0.592,0.006,0.397,16.9,18,17.5,10.1,1.7,2,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1,-1.1,0.2
Bam Adebayo,C,23,MIA,26,873,22.7,0.641,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2,4.9,1.5
Ty-Shon Alexander,SG,22,PHX,3,8,-11.9,0,0.333,0,0,13.6,6.9,14.7,0,0,0,16.8,-0.1,0,-0.1,-0.327,-16.4,-4.8,-21.2,0
Nickeil Alexander-Walker,SG,22,NO,23,441,12,0.502,0.463,0.17,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,0.025,-2.6,0.1,-2.5,-0.1
Grayson Allen,SG,25,MEM,19,454,14,0.63,0.721,0.264,1.7,12,6.7,11.5,2,0.6,11.3,16.5,0.7,0.4,1.1,0.113,0.4,0.1,0.5,0.3
Jarrett Allen,C,22,CLE,16,414,23.5,0.675,0.032,0.568,11.4,23,17,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,0.197,3.2,0.2,3.4,0.6
Al-Farouq Aminu,PF,30,CHI,2,16,7.5,0.798,1,2,6.2,20.3,13,16.7,0,0,51.5,10.3,0,0,0,-0.034,-3.4,0.1,-3.3,0
Kyle Anderson,PF,27,MEM,24,675,17.8,0.579,0.401,0.249,3.5,21.5,12.2,19.4,1.9,2.5,10.7,20.1,1.1,0.8,1.9,0.134,1.9,1.1,2.9,0.8
Giannis Antetokounmpo,PF,26,MIL,27,906,28.3,0.62,0.216,0.54,5.6,29.8,18,27.5,1.8,3.5,13.9,33,2.7,1.5,4.3,0.226,5.2,2,7.2,2.1
Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,0,0,0,0,54.1,28,0,0,21.3,50,21.7,-0.1,0,-0.1,-0.407,-19.3,2,-17.3,0
Thanasis Antetokounmpo,SF,28,MIL,18,149,10.3,0.688,0.269,0.269,9.5,12.5,11,12.2,1.6,1.8,34,12.4,0.1,0.2,0.2,0.079,-3.3,0.1,-3.2,0
Carmelo Anthony,PF,36,POR,27,683,13.8,0.515,0.386,0.241,2.2,12.9,7.3,7.7,1.5,2.9,6.7,23.5,0.3,0.4,0.7,0.047,-1.2,-1.8,-3.1,-0.2
Cole Anthony,PG,20,ORL,25,667,10.3,0.469,0.309,0.204,3,14.7,8.6,21.4,1.2,1.5,14.8,22,-0.6,0.6,0,0,-3,-1.1,-4.1,-0.4
OG Anunoby,SF,23,TOR,18,619,14.7,0.632,0.548,0.258,5,14.2,9.5,6.5,2.8,1.6,13,16.4,0.8,0.7,1.5,0.118,0.3,0.9,1.1,0.5
Ryan Arcidiacono,PG,26,CHI,11,107,11.2,0.534,0.667,0.208,1.1,21.4,11.4,20.1,1.3,0,7.1,11.2,0.2,0.1,0.3,0.119,-2.5,0.9,-1.6,0
DJ Augustin,PG,33,HOU,27,480,10.8,0.514,0.642,0.277,2.5,4.7,3.6,20,1.3,0.2,12.5,15.3,0.6,0.3,0.8,0.083,-0.5,-1.6,-2.2,0
Deandre Ayton,C,22,PHX,27,866,17.7,0.617,0.058,0.219,13,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,0.148,-0.5,-0.3,-0.8,0.2
Udoka Azubuike,C,21,UTAH,12,49,10.6,0.622,0,0.857,9.1,18.6,14.1,0,1,6.5,23.7,11.1,0,0.1,0.1,0.114,-5.5,1.2,-4.3,0
Dwayne Bacon,SG,25,ORL,29,721,10.7,0.513,0.297,0.197,1.7,11.8,6.5,6.4,1.5,0.4,6.2,19.1,0.1,0.6,0.7,0.046,-2.9,-0.9,-3.8,-0.3
Marvin Bagley III,PF,21,SAC,25,623,13.9,0.53,0.26,0.268,9,23.4,16.2,5.3,0.9,1.6,11,23.1,0,0.2,0.3,0.02,-1.8,-2.8,-4.6,-0.4
LaMelo Ball,PG,19,CHA,28,776,18.2,0.542,0.414,0.198,5.8,18.2,11.9,33.8,2.7,1.3,16.5,24.8,0.8,1,1.8,0.113,1.8,1,2.8,0.9
Lonzo Ball,PG,23,NO,25,772,14.2,0.554,0.622,0.089,2.3,13.2,7.8,21.5,2,1.6,13.9,20.2,0.8,0.5,1.2,0.077,0.3,-0.4,-0.2,0.4
Mo Bamba,C,22,ORL,13,113,23.4,0.56,0.278,0.093,14.1,31.6,22.5,6.3,0.9,8,6.6,22.7,0.2,0.2,0.4,0.166,2,0.3,2.3,0.1
Desmond Bane,SG,22,MEM,20,456,12.6,0.631,0.548,0.11,2.1,10.9,6.4,9.8,1.4,0.6,12.4,17.3,0.5,0.3,0.8,0.08,-0.6,-0.9,-1.5,0.1
Harrison Barnes,PF,28,SAC,27,948,15.7,0.615,0.392,0.389,3.3,16.2,9.7,13.2,1.1,0.4,9.9,17.3,2,0.1,2,0.102,1.6,-1.5,0.1,0.5
RJ Barrett,SG,20,NY,30,1012,13.1,0.504,0.233,0.275,4.1,15,9.6,14.7,1.1,0.6,10.4,23.9,0,1.2,1.2,0.058,-1.6,-0.6,-2.2,0
Will Barton,SF,30,DEN,25,744,11.6,0.54,0.396,0.176,1.8,12.4,7.1,14.7,1.3,1.4,12.4,17.9,0.4,0.5,0.9,0.06,-0.9,-1.3,-2.2,0
Keita Bates-Diop,SF,25,SA,8,27,0.3,0.215,0.444,0.667,3.7,7.9,5.8,8.6,1.8,0,0,18.5,-0.1,0,-0.1,-0.151,-8.2,-4.4,-12.5,-0.1
Nicolas Batum,SF,32,LAC,27,806,14.8,0.67,0.683,0.164,3.4,14.6,9.2,10.3,2.3,1.1,8.8,11.8,1.8,1,2.7,0.163,1.5,0.5,2,0.8
Aron Baynes,C,34,TOR,25,470,8.4,0.463,0.37,0.062,8.4,23.9,15.9,7.5,0.7,1.7,11.8,15.4,-0.1,0.4,0.3,0.031,-4.3,-1.4,-5.7,-0.4
Kent Bazemore,SF,31,GS,27,448,14.7,0.647,0.462,0.227,3.1,16.3,9.8,13.6,2.3,3.1,16.2,16.4,0.5,0.7,1.2,0.133,-0.8,2.2,1.5,0.4
Darius Bazley,PF,20,OKC,28,872,9.6,0.489,0.455,0.186,1.8,22.7,12.4,8.7,0.7,2,12.3,19.8,-1.1,1,-0.1,-0.003,-3.1,-0.9,-4,-0.4
Bradley Beal,SG,27,WSH,24,846,24.8,0.591,0.308,0.348,3.9,11.7,7.7,25,1.7,1.2,10.1,36.2,2,0.5,2.5,0.141,6.3,-1.4,4.9,1.5
Malik Beasley,SG,24,MIN,29,951,16.7,0.581,0.51,0.142,2.8,13.7,8,12.7,1.2,0.4,8.4,25.2,1.2,0.4,1.6,0.081,2.5,-2.1,0.5,0.6
Jordan Bell,C,26,WSH,3,50,8,0.333,0.133,0,10.1,23.9,16.8,13.3,0.9,5.2,16.7,14.9,-0.1,0.1,0,-0.037,-5.1,-1.2,-6.3,-0.1
DeAndre' Bembry,SF,26,TOR,19,261,13.2,0.671,0.259,0.204,3.3,9.6,6.4,16.1,2.2,2,16.9,11.6,0.4,0.2,0.7,0.123,-1,1.2,0.2,0.1
Davis Bertans,PF,28,WSH,23,593,11.5,0.589,0.891,0.257,1.7,11.3,6.4,5.4,1.3,1,5.5,16.6,0.7,0.3,1,0.082,0.2,-1.5,-1.3,0.1
Patrick Beverley,PG,32,LAC,20,483,13.7,0.603,0.637,0.234,4.8,14.5,9.8,11.7,2,2.8,9.9,13.9,0.9,0.6,1.5,0.151,-0.1,0.9,0.8,0.3
Saddiq Bey,SF,21,DET,26,529,13,0.593,0.665,0.253,2.2,18.6,10.1,7.4,1.3,0.2,8.6,18.1,0.6,0.4,1,0.092,0.6,-0.7,-0.1,0.3
Tyler Bey,SF,22,DAL,4,13,14,0.444,0,0.8,16.8,8.5,12.7,0,0,7.3,0,22.8,0,0,0,0.057,-1.1,-3.4,-4.5,0
Khem Birch,C,28,TOR,29,631,16.1,0.577,0.086,0.443,12.6,15.9,14.2,7.8,1.5,3,10.2,12.6,1.2,0.7,1.9,0.147,-0.8,-0.4,-1.2,0.1
Goga Bitadze,C,21,IND,13,124,18.3,0.635,0.316,0.316,8.1,17.5,12.9,3.5,1.2,9.8,8.5,16.5,0.2,0.2,0.4,0.173,-2.1,2.2,0.1,0.1
Bismack Biyombo,C,28,CHA,26,585,12.6,0.569,0.008,0.395,10.2,17.4,13.8,8,0.5,5.5,14.1,11.8,0.6,0.6,1.2,0.099,-2.4,-0.5,-2.9,-0.1
Nemanja Bjelica,PF,32,MIA,13,211,12.6,0.567,0.388,0.418,6.2,19.4,12.7,18,0,0.8,16.8,19.3,0.2,0,0.2,0.049,-1.4,-1.9,-3.4,-0.1
Eric Bledsoe,SG,31,NO,27,780,12.6,0.556,0.518,0.19,1.8,11.8,6.8,17.7,1.1,0.9,13.2,19.4,0.7,0.2,0.9,0.055,-0.3,-1.7,-2.1,0
Keljin Blevins,SF,25,POR,8,38,-6,0.111,0.333,0,0,0,0,12.7,2.6,0,25,13.5,-0.2,0,-0.2,-0.238,-12.3,-3.3,-15.6,-0.1
Bogdan Bogdanovic,SG,28,ATL,9,213,9.9,0.543,0.744,0.115,1,16,8.6,13.2,0.9,0.4,11.8,18.6,0.1,0.1,0.2,0.045,-0.8,-1.3,-2.1,0
Bojan Bogdanovic,SF,31,UTAH,29,891,12.3,0.567,0.544,0.251,1.7,11.5,6.8,9.9,0.7,0.1,10.1,20.9,1,0.9,2,0.105,-0.5,-1.1,-1.7,0.1
Bol Bol,PF,21,DEN,12,65,4.7,0.504,0.375,0.125,0,15.7,7.8,4,0.8,5.9,22.9,14.6,-0.1,0.1,-0.1,-0.041,-6.1,-1,-7.2,-0.1
Isaac Bonga,SF,21,WSH,17,230,5,0.523,0.611,0.083,3.5,14.2,8.6,4.9,0.8,1.5,15.8,8,0,0.1,0.1,0.021,-4.6,-1.6,-6.2,-0.2
Devin Booker,SG,24,PHX,23,810,17.2,0.593,0.317,0.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,0.082,0.2,-1.1,-0.9,0.2
Chris Boucher,C,28,TOR,28,654,23.4,0.65,0.405,0.365,9,23.5,16,7,1,9.2,6.1,20.3,2.1,1,3.1,0.226,3.5,0.3,3.8,1
Brian Bowen,SF,22,IND,1,5,17.8,0.615,0,0.5,0,21.7,11,0,0,0,0,21.2,0,0,0,0.16,0.5,-2.4,-1.8,0
Avery Bradley,SG,30,HOU,10,211,10.4,0.607,0.576,0.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,0.1,0.2,0.3,0.071,-2.7,-0.6,-3.2,-0.1
Tony Bradley,C,23,OKC,10,117,20.3,0.537,0.028,0.139,20.4,26.3,23.4,7.3,1.2,4.6,2.6,14.1,0.3,0.2,0.5,0.207,1.9,-0.6,1.3,0.1
Jarrell Brantley,PF,24,UTAH,8,22,10.3,0.563,0.75,0,5,13.8,9.6,0,2.2,3.6,11.1,17.5,0,0,0,0.097,-2.3,0.9,-1.5,0
Mikal Bridges,SF,24,PHX,27,898,16.3,0.634,0.489,0.243,4.7,12.9,8.9,9.1,0.9,2.6,6.2,16,2,1,3.1,0.164,2.1,0.5,2.5,1
Miles Bridges,PF,22,CHA,28,747,12,0.581,0.442,0.147,5.2,18.1,11.6,10.2,1.3,3,17,16.4,0.3,0.8,1.1,0.07,-1.8,-0.3,-2.1,0
Malcolm Brogdon,PG,28,IND,29,1045,18.3,0.548,0.365,0.159,2.4,12.3,7.4,28.1,1.7,0.7,9.5,26.2,1.5,1,2.5,0.115,3,-1.1,2,1
Dillon Brooks,SF,25,MEM,24,700,10.3,0.485,0.389,0.135,3.8,8.6,6.1,13.2,2.2,1.2,12.3,27.1,-0.9,0.6,-0.3,-0.022,-3.5,-2.1,-5.6,-0.6
Bruce Brown,PG,24,BKN,26,498,12.8,0.59,0.172,0.227,7.9,17.2,12.8,7.1,1.6,1.7,13.5,14.1,0.5,0.4,0.9,0.091,-2.1,-0.8,-2.8,-0.1
Jaylen Brown,SG,24,BOS,26,868,22.3,0.598,0.303,0.246,3.9,14.9,9.2,19.5,1.7,1.6,11.6,31.4,1.7,0.9,2.6,0.146,4.9,-0.5,4.4,1.4
Moses Brown,C,21,OKC,7,31,33.5,0.65,0,1.4,13.6,36.5,25.2,16.4,1.5,11.3,5.8,24,0.1,0.1,0.2,0.34,5.3,3.8,9.1,0.1
Sterling Brown,SG,25,HOU,26,556,12.9,0.59,0.613,0.063,3.8,15.6,9.6,12,2.1,1.1,9.4,13.9,0.7,0.8,1.5,0.127,-1,1,0,0.3
Troy Brown Jr.,SF,21,CHI,13,205,5.4,0.461,0.581,0.194,3.9,19.6,11.5,8.5,0.5,0.8,15.1,16,-0.2,0.1,-0.1,-0.034,-4.1,-2.3,-6.3,-0.2
Jalen Brunson,PG,24,DAL,24,578,16.4,0.626,0.34,0.27,0.9,13.6,7.2,22.6,0.8,0,11.5,19.2,1.3,0.2,1.5,0.121,1.2,-1.8,-0.6,0.2
Thomas Bryant,C,23,WSH,10,271,18.8,0.704,0.231,0.264,6.7,17.2,11.8,8.7,0.7,2.6,9.8,17.2,0.7,0.2,0.9,0.157,2.1,-1.7,0.4,0.2
Reggie Bullock,SF,29,NY,25,669,8.9,0.54,0.605,0.084,1.1,12.3,6.8,7.4,1.3,0.9,8.4,14.2,0.2,0.8,1,0.074,-2.4,0.7,-1.7,0.1
Trey Burke,PG,28,DAL,27,466,13.7,0.571,0.511,0.152,0.9,6.2,3.5,13.7,2.2,0.4,7.3,19.3,0.6,0.2,0.8,0.08,-0.4,0,-0.4,0.2
Alec Burks,SG,29,NY,18,459,13.5,0.55,0.543,0.265,2.1,16.6,9.5,12.5,1.6,1.1,10,19.3,0.4,0.7,1,0.107,0.3,0.2,0.5,0.3
Jimmy Butler,SF,31,MIA,16,527,24.2,0.559,0.11,0.612,6.5,19,13.1,36.8,2.9,1.2,10.9,26.4,1.5,0.8,2.3,0.213,3.3,2.5,5.8,1
Devontae Cacok,PF,24,LAL,1,2,38.7,1,0,0,0,0,0,0,0,0,0,21.7,0,0,0,0.342,14.1,3.9,18,0
Kentavious Caldwell-Pope,SG,27,LAL,25,627,9.8,0.589,0.548,0.161,1.5,8.3,5,7,1.5,1.1,11.8,14.1,0.4,0.9,1.3,0.101,-1.6,-0.1,-1.7,0.1
Facundo Campazzo,PG,29,DEN,25,350,12.1,0.561,0.667,0.302,1.6,4.9,3.2,17.8,3.2,1.1,13.5,15.6,0.4,0.4,0.8,0.104,-1.8,0.5,-1.3,0.1
Vlatko Cancar,PF,23,DEN,13,45,2.1,0.269,0.571,0.143,7.5,22.7,15.1,2.7,4.4,4.3,25.2,19.2,-0.2,0.1,-0.1,-0.158,-9.6,-0.7,-10.3,-0.1
Clint Capela,C,26,ATL,25,732,23.1,0.582,0,0.282,17,34.4,25.8,5.4,1.3,6.4,10.2,19.9,1.4,1.3,2.7,0.179,2,0.4,2.4,0.8
Vernon Carey Jr.,C,19,CHA,3,6,29.8,0.387,0.333,0.667,35,18.1,26.7,24.5,0,16.8,0,27.5,0,0,0,0.197,7.5,-0.1,7.4,0
Jevon Carter,PG,25,PHX,23,256,8.3,0.447,0.671,0.027,1.3,12.3,6.9,13.5,1.9,2.1,6.3,13.8,0,0.3,0.3,0.056,-3.5,2.1,-1.3,0
Wendell Carter Jr.,C,21,ORL,16,425,17.1,0.613,0.109,0.522,9.3,22.9,16.2,11.8,1.2,2.3,15.4,20.1,0.7,0.5,1.2,0.134,-1,-0.4,-1.4,0.1
Michael Carter-Williams,SG,29,ORL,10,246,8.2,0.418,0.207,0.28,7.3,12.7,9.9,17.6,1,1.5,14.8,18.7,-0.3,0.2,-0.1,-0.014,-4.9,-0.8,-5.7,-0.2
Alex Caruso,PG,26,LAL,22,412,11.5,0.596,0.515,0.124,3.1,11,7.2,16,2.6,0.8,19.6,13.4,0.3,0.8,1,0.122,-1.5,2.2,0.7,0.3
Willie Cauley-Stein,C,27,DAL,26,454,14.8,0.646,0.051,0.444,7.9,21.2,14.5,6.2,1,4,10.6,12.8,0.9,0.4,1.3,0.137,-1.8,0.5,-1.4,0.1
Chris Chiozza,PG,25,BKN,12,111,10.7,0.414,0.439,0.268,3.2,7.6,5.6,31.7,1.7,2.2,14.9,21,0,0.1,0,0.014,-2.9,-1.5,-4.4,-0.1
Brandon Clarke,PF,24,MEM,20,543,16.6,0.539,0.162,0.185,6.3,16.5,11.3,9.8,2.1,2.5,5.5,19.9,0.6,0.6,1.2,0.107,-0.3,0,-0.3,0.2
Jordan Clarkson,SG,28,UTAH,29,760,19,0.588,0.575,0.112,3.9,12.3,8.3,13.5,1.8,0.7,10.7,28.4,1.2,1.1,2.3,0.145,3.4,-0.4,3,1
Amir Coffey,SG,23,LAC,19,154,10.1,0.637,0.525,0.225,2.3,8.5,5.5,7.1,1.3,0,15.4,14.9,0.1,0.1,0.2,0.065,-1.7,-1.1,-2.8,0
John Collins,PF,23,ATL,28,884,19.3,0.635,0.261,0.228,7.5,18.2,12.9,8.4,0.7,2.7,8.9,21.2,2.2,0.8,3,0.162,2.2,-0.4,1.8,0.8
Mike Conley,PG,33,UTAH,23,674,19.8,0.593,0.536,0.223,3.8,9.2,6.6,30.2,2.3,0.2,12.6,23.3,1.9,1,2.9,0.207,3.7,0.4,4.1,1
Pat Connaughton,SG,28,MIL,25,475,13.2,0.57,0.672,0.063,5,15.9,10.6,9,1.7,2.3,5.1,12.2,0.8,0.5,1.3,0.133,1,0.3,1.2,0.4
DeMarcus Cousins,C,30,LAC,25,506,15.1,0.511,0.552,0.281,6.2,34.1,20,17.9,2,3.1,14.2,23.1,-0.1,1.1,1,0.094,-1.5,1.9,0.4,0.3
Robert Covington,PF,30,POR,26,816,10,0.511,0.71,0.097,2.5,19.1,10.4,7.5,2.5,2.7,12.2,11.6,0.1,0.8,0.9,0.054,-2.6,0.9,-1.7,0.1
Torrey Craig,SF,30,PHX,15,175,11.6,0.568,0.486,0.054,7.5,15.9,11.8,8.2,2.2,2.6,11.7,10.3,0.2,0.2,0.4,0.123,-1.4,1.2,-0.2,0.1
Jae Crowder,PF,30,PHX,24,670,11.5,0.54,0.771,0.154,1.7,18.6,10.3,10.6,1.6,0.7,7.7,16.6,0.4,0.9,1.3,0.092,-0.3,0.6,0.3,0.4
Jarrett Culver,SG,21,MIN,16,339,10.7,0.518,0.279,0.297,7.5,18.4,12.7,6.4,1.5,1.5,14.3,18.2,-0.1,0.3,0.1,0.021,-4.2,-1.6,-5.8,-0.3
Seth Curry,SG,30,PHI,22,637,14.1,0.652,0.471,0.196,0.9,6.2,3.6,13.2,1.3,0.8,12.3,16.7,1.2,0.5,1.7,0.125,0.8,-1.2,-0.4,0.3
Stephen Curry,PG,32,GS,29,987,25.6,0.661,0.578,0.261,1.4,14.8,8.2,31.4,1.7,0.2,12.4,32.2,3.1,1.2,4.3,0.21,7.5,0,7.6,2.4
Anthony Davis,PF,27,LAL,23,755,24.7,0.588,0.151,0.339,7.2,20.9,14.3,15.5,2,4.6,9.3,27.9,1.6,1.7,3.3,0.212,4.3,2.1,6.4,1.6
Ed Davis,C,31,MIN,19,264,12.2,0.462,0,0.186,14.7,25.4,19.8,9.3,1.8,3.1,11.4,8.4,0.3,0.3,0.6,0.117,-3.8,0.4,-3.4,-0.1
Terence Davis,SG,23,SAC,22,304,11.2,0.563,0.57,0.078,2.1,11.3,6.5,10,1.9,1,12.5,21.2,0,0.3,0.3,0.041,-2,-1.3,-3.3,-0.1
DeMar DeRozan,PF,31,SA,25,835,21.7,0.603,0.143,0.503,2.3,13.5,7.8,30.8,1.1,0.8,9.1,23.2,2.7,0.8,3.5,0.199,3.9,-0.1,3.8,1.2
Hamidou Diallo,SG,22,DET,28,673,15.9,0.539,0.138,0.418,5,18.2,11.7,16.5,2,1.3,11.4,23.6,0.3,0.9,1.2,0.085,-1.7,0.4,-1.3,0.1
Gorgui Dieng,C,31,SA,19,336,18.6,0.678,0.426,0.33,8.6,21.6,14.9,10.6,2.3,3.6,15.7,16.1,0.7,0.5,1.2,0.169,1.2,0.8,2,0.3
Spencer Dinwiddie,SG,27,BKN,3,64,10.1,0.536,0.438,0.375,0,21.5,11.4,17.4,1.5,1.3,21.2,16,0,0.1,0.1,0.039,-3.4,2,-1.4,0
Donte DiVincenzo,SG,24,MIL,28,732,12.7,0.536,0.552,0.085,4.3,13.5,9.1,13.4,2.2,0.7,11.7,16.7,0.6,0.8,1.4,0.09,-0.3,-0.2,-0.4,0.3
Luka Doncic,PG,21,DAL,27,954,26.8,0.586,0.34,0.392,2.7,24.2,13.4,47.5,1.4,1.8,14.5,36,2.5,0.8,3.4,0.17,6.8,1,7.8,2.4
Luguentz Dort,SG,21,OKC,27,800,9.5,0.531,0.542,0.248,2.5,9.8,6.2,7.3,1.5,0.8,11.4,19.4,-0.3,0.7,0.4,0.024,-3.3,-1.2,-4.5,-0.5
Damyean Dotson,SG,26,CLE,24,490,9.9,0.504,0.532,0.15,0.9,9.4,5,16,1.1,0.6,9.8,17.9,0,0.2,0.2,0.02,-2,-1.2,-3.2,-0.2
Devon Dotson,PG,21,CHI,1,10,6.7,0.5,0,0,0,10.9,5.6,0,0,0,0,17,0,0,0,-0.001,-6.2,-2.3,-8.5,0
Sekou Doumbouya,PF,20,DET,24,314,6.1,0.441,0.382,0.225,5.1,16,10.4,6.6,1.6,0.6,12.5,17.7,-0.4,0.3,-0.1,-0.022,-5.6,-2,-7.5,-0.4
PJ Dozier,SG,24,DEN,17,330,13.6,0.576,0.394,0.266,5.5,18.6,12,9.3,1.3,2.9,11,15.5,0.4,0.3,0.7,0.108,-0.3,-0.4,-0.8,0.1
Goran Dragic,PG,34,MIA,17,451,13.4,0.566,0.4,0.241,1.8,10.6,6.5,33.7,1,0.5,19.1,26.3,0,0.4,0.4,0.042,-1,-2.3,-3.3,-0.1
