Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jakob Poeltl,C,25,SA,27,600,16.5,0.582,0,0.29,13.6,19.1,16.3,10.5,1.3,5.8,17.3,12.8,0.8,1,1.8,0.14,-1,0.8,-0.2,0.3
Aleksej Pokusevski,PF,19,OKC,17,296,2.4,0.301,0.602,0,1.8,19.1,10.6,9.6,1.3,5.6,19.1,16.8,-1.2,0.4,-0.8,-0.127,-7.5,0.3,-7.2,-0.4
Jordan Poole,SG,21,GS,15,143,14.6,0.598,0.639,0.311,1.5,11.5,6.6,13.4,1,1.2,10.3,22.9,0.2,0.1,0.3,0.108,0.2,-0.8,-0.6,0.1
Michael Porter Jr.,SF,22,DEN,18,486,17.3,0.594,0.526,0.155,4.9,20.8,12.8,5.7,1.9,4.2,8.4,20.2,0.7,0.7,1.3,0.129,1.7,-0.8,0.9,0.3
Otto Porter,SF,27,ORL,16,372,16.5,0.582,0.486,0.25,6.1,23.5,14.9,12.2,1.1,0.7,8.6,20,0.6,0.4,1,0.131,1.5,-1.1,0.3,0.2
Bobby Portis,C,25,MIL,28,610,20.9,0.622,0.246,0.111,9.8,25.2,17.7,7.2,1.9,1.6,7.4,19.6,1.5,0.9,2.4,0.189,2.6,-0.5,2.1,0.6
Kristaps Porzingis,C,25,DAL,17,509,21.2,0.576,0.387,0.197,7.5,22.8,15.1,7.4,0.6,5,6.5,27.9,0.9,0.5,1.3,0.123,2,-1.3,0.7,0.3
Dwight Powell,C,29,DAL,17,277,12.7,0.599,0.149,0.957,7.9,16.3,12.1,7.6,2.3,2.1,14.1,12.3,0.4,0.3,0.7,0.118,-2.6,1,-1.6,0
Norman Powell,SG,27,POR,26,735,15.3,0.609,0.451,0.289,1.6,10,5.6,8,1.8,0.6,9.6,22.3,1,0.5,1.6,0.103,0,-0.8,-0.8,0.2
Taurean Prince,PF,26,CLE,15,374,11.7,0.525,0.483,0.217,2.9,16.6,9.5,15.2,1.4,2.7,13.2,17.4,0.1,0.3,0.4,0.052,-0.6,-0.5,-1.1,0.1
Payton Pritchard,SG,23,BOS,22,472,11.9,0.608,0.561,0.094,2.5,10.4,6.4,15.9,1.3,1,16.2,15.7,0.5,0.4,0.9,0.092,-0.9,-0.5,-1.4,0.1
Immanuel Quickley,PG,21,NY,26,505,18.4,0.553,0.469,0.313,2.1,10.4,6.3,22.6,1.1,1.8,7.6,27.6,1,0.6,1.6,0.151,2.6,-0.2,2.4,0.6
Jahmi'us Ramsey,SG,19,SAC,4,16,11.5,0.625,0.75,0,0,27.7,13.7,8.3,0,5.3,20,13.3,0,0,0,0.02,-2,-1.9,-3.9,0
Chasson Randle,G,27,ORL,1,19,1.3,0.25,0.5,0,0,11.4,5.5,34.8,0,0,20,11.2,0,0,0,-0.052,-11.8,-1.6,-13.3,-0.1
Julius Randle,PF,26,NY,30,1101,20.7,0.589,0.267,0.379,4,26.6,15.5,25.8,1,0.5,14.2,27.6,1.9,1.7,3.6,0.159,3.3,0.8,4.2,1.7
Cam Reddish,SF,21,ATL,24,692,9.3,0.498,0.483,0.318,3,11.7,7.4,7.1,1.9,1,10.4,18.9,-0.2,0.6,0.4,0.028,-3,-0.4,-3.5,-0.3
J.J. Redick,SG,36,DAL,25,456,10.1,0.558,0.701,0.216,0.7,8.5,4.6,8.3,0.9,0.5,9.9,18.9,0.4,0,0.4,0.045,-1.4,-2,-3.4,-0.2
Paul Reed,PF,21,PHI,5,55,8.6,0.409,0.136,0,14.4,5.8,10,7.8,0.9,6.5,18.5,20.7,-0.1,0.1,-0.1,-0.05,-6.1,-2,-8.1,-0.1
Naz Reid,C,21,MIN,27,581,18.9,0.607,0.292,0.252,6.3,18.7,12.2,10.1,1.5,4.7,10,22.3,0.9,0.6,1.5,0.126,0.1,0.1,0.2,0.3
Nick Richards,PF,23,CHA,8,23,13.3,0.637,0,1,9.1,18.9,13.9,0,0,0,10.4,17.8,0.1,0,0.1,0.143,-3.3,-2.4,-5.7,0
Josh Richardson,SG,27,DAL,19,601,11,0.549,0.5,0.23,3.5,6.6,5,12,1.3,0.6,10.8,17.6,0.5,0.2,0.6,0.05,-1.7,-1.6,-3.2,-0.2
Austin Rivers,SG,28,DEN,21,442,9.7,0.545,0.57,0.104,1.2,9.8,5.6,14.1,1.4,0,13.5,16.3,0.1,0.5,0.6,0.06,-2.3,-0.7,-3,-0.1
Duncan Robinson,SF,26,MIA,28,931,8.8,0.607,0.86,0.151,0.1,12,6.4,6.9,0.6,0.8,12.4,15.8,0.2,0.7,0.9,0.046,-1.3,-1.5,-2.7,-0.2
Mitchell Robinson,C,22,NY,27,778,17.5,0.647,0,0.295,13.3,17.1,15.2,2.7,2.1,5.2,11.1,11.3,1.5,1.5,3,0.185,-0.4,1.2,0.8,0.6
Isaiah Roby,PF,22,OKC,22,445,16.2,0.605,0.255,0.307,8.5,18,13.3,11.7,1.6,2.7,12.9,17.4,0.7,0.6,1.3,0.136,-1.3,0.5,-0.8,0.1
Rajon Rondo,PG,34,LAC,14,214,8.9,0.421,0.473,0.036,2,13.9,8.1,34.6,2,0.4,25.4,14.9,-0.2,0.2,0,0.007,-3.2,-0.3,-3.5,-0.1
Derrick Rose,G,32,NY,5,103,17,0.503,0.18,0.26,1,13,7.1,27.5,2.4,2.9,12.6,27.3,0,0.2,0.2,0.071,-0.5,0.8,0.4,0.1
Terrence Ross,SG,29,ORL,28,806,12.6,0.53,0.427,0.199,1,11,5.8,12,1.6,1.7,11.2,24.1,-0.1,0.8,0.6,0.037,-1.4,-1,-2.4,-0.1
Terry Rozier,SG,26,CHA,26,867,18.3,0.625,0.505,0.184,1.8,11.4,6.5,14.6,1.8,1.4,9.5,23.2,1.6,0.8,2.4,0.133,3.2,-0.6,2.6,1
Ricky Rubio,PG,30,MIN,27,679,11.2,0.475,0.32,0.293,1.7,13.4,7.2,35.1,2.4,0,21.5,16.1,0,0.5,0.5,0.038,-3.7,-0.7,-4.4,-0.4
D'Angelo Russell,PG,24,MIN,20,583,16.4,0.544,0.454,0.196,1.6,8.4,4.8,28.9,1.8,1.4,13.2,29.4,0.2,0.3,0.5,0.04,2.3,-1.8,0.4,0.4
Domantas Sabonis,PF,24,IND,29,1055,20.7,0.595,0.18,0.376,8.6,26.4,17.6,24.3,1.3,1.6,15.8,25.6,1.9,1.4,3.3,0.151,2.7,0.8,3.4,1.4
Luka Samanic,PF,21,SA,4,11,9.9,0.509,0.5,0.333,0,0,0,0,0,0,0,26.8,0,0,0,-0.004,2.9,-5.9,-3,0
JaKarr Sampson,PF,27,IND,13,78,12.1,0.51,0.12,0.4,10,26.5,18.4,0,0.6,3.3,9.3,18,0,0.1,0.1,0.073,-3.6,-1.8,-5.4,-0.1
Dario Saric,PF,26,PHX,10,181,16.7,0.574,0.438,0.3,4.4,19.8,12.3,10.1,2.7,1,13.4,25.9,0.1,0.3,0.4,0.105,-1,0.4,-0.5,0.1
Tomas Satoransky,SG,29,CHI,16,320,14.3,0.62,0.342,0.288,1.8,13,7.5,32,1.5,0.8,22.6,14.1,0.6,0.3,0.9,0.128,-0.2,0.4,0.1,0.2
Dennis Schroder,SG,27,LAL,29,902,12.6,0.541,0.27,0.333,2.2,10.5,6.5,19.7,1.5,0.6,14.5,21.5,0.5,1.4,1.8,0.097,-1.8,-0.3,-2.1,0
Mike Scott,PF,32,PHI,11,193,3.9,0.456,0.792,0.063,2.4,13.7,8.2,0.7,0.7,0.9,9.2,11.9,-0.2,0.2,0,0.002,-4.6,-1.9,-6.6,-0.2
Collin Sexton,SG,22,CLE,24,847,17.3,0.574,0.206,0.319,2.3,5.8,4,21.1,1.5,0.4,11,27.1,1.2,0.3,1.5,0.085,1.6,-1.5,0.1,0.4
Landry Shamet,SG,23,BKN,26,494,9.1,0.544,0.728,0.204,1.2,7.5,4.5,9.1,1.2,0.7,10.6,17.3,0.2,0.2,0.3,0.031,-2.4,-1.6,-4,-0.3
Pascal Siakam,PF,26,TOR,25,895,17.6,0.541,0.248,0.305,6.6,17.8,12,20.1,1.6,1.7,10.5,25.4,1.2,0.9,2.1,0.113,0.5,-0.8,-0.2,0.4
Chris Silva,PF,24,SAC,6,53,16.2,0.805,0.111,1.333,15.7,22.1,19.1,16.7,0.9,3.9,35.9,18.7,0.1,0.1,0.2,0.172,-3.2,1.1,-2,0
Ben Simmons,PG,24,PHI,25,835,19.9,0.599,0.023,0.508,5.4,21.2,13.6,35,2.4,2.1,20.9,20.3,1.5,1.3,2.8,0.163,1.6,2.6,4.2,1.3
Anfernee Simons,SG,21,POR,25,447,12.7,0.582,0.712,0.125,1.4,13,6.9,10.2,0.7,1,9.8,20.6,0.5,0.1,0.6,0.065,0.7,-2.3,-1.6,0
Deividas Sirvydis,SG,20,DET,4,5,-9.8,0,1,0,0,0,0,25.5,0,0,0,17.3,0,0,0,-0.344,-13.5,-7.9,-21.4,0
Marcus Smart,PG,26,BOS,17,549,14.6,0.516,0.479,0.33,1.4,8.3,4.8,26.4,2.8,1.5,12.2,19.1,0.6,0.6,1.2,0.106,0,0.2,0.3,0.3
Dennis Smith Jr.,G,23,DET,4,57,9.3,0.464,0.348,0.174,3.8,8.2,5.9,22.4,0,1.6,13.9,21.8,0,0,0,-0.028,-2.7,-3.2,-5.9,-0.1
Ish Smith,PG,32,WSH,19,391,10.6,0.404,0.172,0.129,2.6,15.5,8.8,31.1,1.8,0.9,13.4,15,-0.1,0.3,0.1,0.018,-2.2,-0.3,-2.5,0
Jalen Smith,PF,20,PHX,8,50,7.7,0.391,0.412,0.118,11.3,10.8,11.1,5.5,0,3.5,5.3,16.9,0,0,0,0.001,-2,-1.9,-3.9,0
Tony Snell,SG,29,ATL,15,193,7.3,0.575,0.725,0,3.4,9.9,6.7,9.9,0.3,0.9,13,10.2,0.1,0.1,0.2,0.052,-1.5,-0.8,-2.3,0
Cassius Stanley,SG,21,IND,8,23,6.9,0.489,0.286,0.714,9.7,4.7,7.2,0,0,7.5,9.8,19.2,0,0,0,0.042,-6.3,-1.6,-7.9,0
Lamar Stevens,PF,23,CLE,18,265,9.2,0.461,0.195,0.351,2.8,16.9,9.6,10.3,1.5,1.7,8.3,15.7,-0.1,0.2,0.1,0.024,-4.1,-0.2,-4.3,-0.2
Isaiah Stewart,C,19,DET,26,466,14.1,0.556,0.037,0.275,14.8,19.1,16.8,5.5,1.4,4.7,14.1,13.2,0.6,0.6,1.1,0.115,-2.7,-0.1,-2.9,-0.1
Max Strus,SF,24,MIA,16,235,13.8,0.699,0.81,0.114,0.5,7.3,4.1,5.5,0.4,0,3.5,16.3,0.5,0.1,0.6,0.123,2,-1.3,0.7,0.2
Edmond Sumner,SG,25,IND,16,150,11.4,0.572,0.333,0.292,4.5,10.9,7.7,7.5,2.6,0.6,15.6,18.6,0,0.2,0.2,0.053,-3.4,0.3,-3.1,0
Jae'Sean Tate,SF,25,HOU,28,763,13.4,0.615,0.284,0.225,6.3,13.5,9.9,9.8,1.5,1.9,12.8,14.4,1,1,2,0.126,-1.7,0.7,-1,0.2
Jayson Tatum,SF,22,BOS,23,810,21.4,0.561,0.338,0.238,1.7,20.9,11.1,23,1.7,1,9.6,30.9,1.4,1,2.4,0.142,4.6,0,4.6,1.4
Jeff Teague,PG,32,MIL,23,397,8.2,0.443,0.292,0.231,1.9,8.6,5.2,15.7,2.6,0.7,14.9,18.1,-0.4,0.4,0,0.004,-4.2,-0.3,-4.5,-0.2
Garrett Temple,SG,34,CHI,26,715,9.6,0.551,0.563,0.137,2.1,10.2,6.2,9.4,1.8,1.6,11.4,14,0.3,0.7,0.9,0.063,-2.7,0.1,-2.6,-0.1
Tyrell Terry,PG,20,DAL,11,56,6,0.318,0.438,0.188,0,11.8,5.9,14.2,4.3,0,10.4,15.1,-0.1,0.1,-0.1,-0.067,-7.7,2.2,-5.5,-0.1
Daniel Theis,C,28,CHI,26,623,15.5,0.653,0.345,0.244,5.9,18.2,11.9,8.4,1.2,3.9,12.7,14.6,1.1,0.7,1.9,0.145,-0.2,0.7,0.5,0.4
Matt Thomas,SG,26,UTAH,14,84,10.5,0.588,0.75,0.143,1.3,10.9,5.9,10.1,1.1,0,11.8,17.1,0.1,0,0.1,0.063,-1.1,-1.7,-2.8,0
Tristan Thompson,PF,29,BOS,26,586,13.6,0.533,0.014,0.37,14.1,27.3,20.5,5,0.7,1.4,12.4,14.1,0.6,0.7,1.3,0.107,-1.5,-1.6,-3.1,-0.2
Matisse Thybulle,SG,23,PHI,26,461,9.1,0.481,0.627,0.145,2,6,4,5.5,4.2,4.2,8.3,8.8,0,0.8,0.8,0.087,-3.2,4.2,1,0.4
Xavier Tillman Sr.,PF,22,MEM,19,402,15,0.599,0.202,0.134,6.9,16.6,11.7,10.7,2.3,2.7,11.9,15.1,0.5,0.5,1,0.12,-1.5,0.7,-0.8,0.1
Obi Toppin,PF,22,NY,20,240,12.7,0.561,0.446,0.12,2.2,18.4,10.5,5.9,0.8,3.7,10.3,17.9,0.1,0.4,0.4,0.083,-1.5,0.4,-1.1,0.1
Juan Toscano-Anderson,SG,27,GS,16,349,12.4,0.647,0.347,0.187,3.7,18.8,11.4,14,1.2,2.8,17.3,11.9,0.4,0.5,0.9,0.124,-1.6,1,-0.6,0.1
Karl-Anthony Towns,C,25,MIN,9,298,23.9,0.633,0.309,0.316,9.6,25.5,17.1,16.6,1.4,4.7,13.9,25.4,0.7,0.4,1.1,0.173,3.4,0.9,4.3,0.5
Gary Trent Jr.,SG,22,TOR,26,785,14,0.585,0.578,0.114,1.7,6,3.7,6.8,1.2,0.5,4.7,19.5,1.3,0.1,1.4,0.084,1.1,-2.3,-1.2,0.2
P.J. Tucker,PF,35,MIL,26,780,5.5,0.511,0.652,0.152,3.5,12.9,8.1,6,1.3,1.5,18.4,8,-0.1,0.9,0.8,0.051,-4.9,0.4,-4.5,-0.5
Myles Turner,C,24,IND,27,842,17,0.615,0.474,0.336,4.5,18.5,11.6,4.4,1.7,9.6,11.3,16.9,0.9,1.6,2.4,0.14,-0.7,2.2,1.4,0.7
Jonas Valanciunas,C,28,MEM,19,522,22.1,0.639,0.099,0.363,12.5,31.3,21.6,11.6,1.1,2.6,14.3,23.3,1.2,0.7,1.8,0.169,1.5,-0.4,1,0.4
Denzel Valentine,SG,27,CHI,23,462,11.8,0.511,0.606,0.032,2,19.4,10.8,12.4,1.7,0.2,6.4,18.7,0.1,0.5,0.6,0.062,-0.9,-0.8,-1.7,0
Jarred Vanderbilt,PF,21,MIN,27,517,16.7,0.602,0.018,0.451,9.9,24.6,16.8,12.9,2.8,2.9,15.6,13.1,0.7,0.7,1.5,0.135,-1.4,1.3,-0.1,0.3
Fred VanVleet,SG,26,TOR,28,1020,18.3,0.56,0.525,0.219,2.1,11,6.4,27.9,2.3,1.9,10.2,23.7,2,1,3,0.14,2.9,-0.1,2.8,1.2
Devin Vassell,SF,20,SA,26,451,12.5,0.529,0.5,0.167,3.6,15.8,9.5,8.2,3.1,1.7,8.1,14,0.2,0.7,0.9,0.1,-1.7,1.9,0.2,0.3
Gabe Vincent,PG,24,MIA,18,292,5.5,0.462,0.612,0.147,1.6,6.6,4.2,14.2,1.2,0.4,12.7,21.6,-0.5,0.2,-0.3,-0.044,-5.9,-1.9,-7.8,-0.4
Nikola Vucevic,C,30,CHI,29,974,23.4,0.564,0.318,0.134,6.1,30.6,17.9,19.3,1.6,1.5,7.5,28.5,1.7,1.4,3.2,0.155,5.6,0,5.5,1.9
Dean Wade,PF,24,CLE,23,192,6.1,0.479,0.673,0.102,4.5,12.6,8.4,7.2,1.3,0.9,16.3,13.7,-0.1,0.1,0,-0.01,-4.1,-1.3,-5.4,-0.2
Kemba Walker,PG,30,BOS,13,364,14.2,0.5,0.487,0.21,2.1,12.9,7.3,22,1.9,0.5,12,28.4,0,0.3,0.3,0.043,0.7,-0.9,-0.3,0.2
Lonnie Walker,SG,22,SA,25,666,8.6,0.509,0.442,0.141,0.8,10.9,5.7,8.8,0.9,1.1,9,18.7,-0.3,0.6,0.2,0.018,-2.9,-1.7,-4.6,-0.4
John Wall,PG,30,HOU,19,591,17.3,0.539,0.347,0.281,1.8,10.9,6.3,34.7,1.5,1.9,15.5,30.7,0,0.7,0.7,0.061,1.9,-1,0.9,0.4
Brad Wanamaker,PG,31,CHA,29,465,9.2,0.467,0.388,0.371,1.4,10.1,5.8,21.4,2.3,0.8,15.1,14.5,0,0.6,0.6,0.059,-4.4,0.8,-3.7,-0.2
T.J. Warren,SF,27,IND,4,117,12,0.56,0.137,0.196,1.9,11.1,6.6,6.7,0.8,0,6.7,22,0.1,0.1,0.1,0.054,-3,-2.5,-5.5,-0.1
P.J. Washington,PF,22,CHA,24,691,12.8,0.516,0.342,0.281,6.1,18.4,12.1,14.9,1.5,4.5,15.9,19,0,0.9,0.9,0.061,-1.9,0.5,-1.4,0.1
Yuta Watanabe,SF,26,TOR,18,223,11.1,0.514,0.549,0.157,7.7,22.1,14.6,4.1,1.9,5,12.8,12,0.1,0.3,0.4,0.085,-2,0,-2,0
Tremont Waters,PG,23,BOS,9,90,5.4,0.36,0.444,0.296,2.4,7.6,5,35.7,2.7,0,29.9,20.7,-0.3,0.1,-0.2,-0.09,-4.9,-2.1,-7,-0.1
Paul Watson,SF,26,TOR,13,42,23,0.929,0.786,0,2.5,21.8,11.8,7.6,0,4.9,6.7,15.2,0.2,0,0.2,0.244,7.2,1.6,8.8,0.1
Quinndary Weatherspoon,SG,24,SA,5,24,-10.2,0.34,0.2,0.4,0,8.9,4.3,15.2,2,0,50.5,21.2,-0.2,0,-0.2,-0.31,-18.3,-3.9,-22.2,-0.1
Russell Westbrook,PG,32,WSH,19,631,14.4,0.469,0.229,0.285,5.4,24.9,14.9,45.3,1.2,1,19.7,31.2,-1,0.5,-0.4,-0.034,-0.1,-1.7,-1.8,0
Coby White,PG,20,CHI,27,904,10.9,0.522,0.492,0.161,1.1,14.4,7.9,22.8,0.5,0.3,14.2,21.8,0.1,0.5,0.6,0.034,-1.6,-2.3,-3.9,-0.4
Derrick White,SG,26,SA,8,189,15,0.508,0.512,0.174,0.5,7.3,3.8,24,2,3.6,7,22.6,0.1,0.2,0.3,0.087,0.7,0.8,1.5,0.2
Hassan Whiteside,C,31,SAC,20,296,22.2,0.617,0.009,0.451,11.3,30.6,20.9,4.7,1,7.7,12.3,22.3,0.5,0.3,0.8,0.125,-0.2,0.3,0.1,0.2
Andrew Wiggins,PF,25,GS,29,934,14,0.556,0.36,0.24,3.4,11.9,7.7,10.1,1,3.6,10.3,23.3,0.1,1.1,1.2,0.064,-0.7,-0.8,-1.6,0.1
Grant Williams,PF,22,BOS,24,462,8,0.562,0.52,0.284,5.6,12.1,8.8,6.7,1.2,2,16.7,12.8,0.1,0.4,0.6,0.058,-3.5,-0.3,-3.8,-0.2
Kenrich Williams,PF,26,OKC,28,512,13.4,0.607,0.281,0.157,8.2,14.1,11.2,13.6,1.9,0.9,16.2,13.1,0.6,0.6,1.2,0.116,-1.5,0.9,-0.7,0.2
Lou Williams,PG,34,ATL,28,626,16.5,0.529,0.271,0.282,2,9.9,6.1,26.1,1.8,0.4,11.6,26.1,0.7,0.6,1.3,0.098,-0.1,-1.6,-1.7,0
Patrick Williams,PF,19,CHI,26,720,9.8,0.553,0.275,0.28,3.6,14.6,9.2,5.2,1.2,2.2,14.1,16.3,0,0.7,0.7,0.043,-3.2,-0.9,-4,-0.4
Robert Williams,C,23,BOS,21,317,24.1,0.731,0.013,0.312,15.8,23.4,19.5,7.6,3.4,7,20.1,14.8,0.8,0.7,1.5,0.227,1.8,2.3,4.1,0.5
Zion Williamson,PF,20,NO,27,880,27,0.659,0.038,0.496,8.2,14.9,11.5,16.2,1.5,2.2,10.8,27.8,3.4,0.5,3.9,0.215,4.6,-0.1,4.5,1.5
D.J. Wilson,PF,24,HOU,10,94,8,0.488,0.622,0.054,3.5,20.9,12.4,4,0.5,2.9,9.6,18.7,-0.1,0.1,0,0.017,-3.9,-2.1,-6,-0.1
Dylan Windler,SF,24,CLE,15,262,13.4,0.621,0.646,0.262,4.5,19.7,11.8,9.9,1.7,2.8,17.1,14.3,0.2,0.3,0.5,0.09,-0.4,0.5,0,0.1
Cassius Winston,PG,22,WSH,6,44,9.8,0.597,0.7,0.2,0,9.9,4.8,17.9,0,2,8.4,11.2,0.1,0,0.1,0.086,-2.2,-1.8,-4,0
James Wiseman,C,19,GS,20,419,15.1,0.548,0.113,0.313,7.6,22.5,15.2,5.4,0.9,5.5,12.6,25.7,-0.2,0.7,0.5,0.059,-3.5,-0.7,-4.1,-0.2
Christian Wood,C,25,HOU,17,530,24.1,0.634,0.285,0.24,6.1,28.9,17.4,7.7,1.4,4.2,9.5,26.2,1,1,2,0.178,3.5,0.5,4,0.8
Robert Woodard,SF,21,SAC,6,17,22.9,0.547,0.273,0.182,19.1,32.5,25.8,0,0,0,7.8,32.3,0,0,0,0.009,3.9,-5.9,-2,0
Delon Wright,SG,28,SAC,28,823,16.6,0.559,0.298,0.346,4.2,13.9,8.9,25.3,2.4,1.7,11.5,15.6,1.5,0.9,2.3,0.136,1.4,1.4,2.8,1
Thaddeus Young,PF,32,CHI,23,592,18.5,0.597,0.104,0.169,10.7,14.4,12.6,25.2,2.5,1.7,17.9,18.9,1.1,0.7,1.8,0.145,0.8,1.3,2.1,0.6
Trae Young,PG,22,ATL,26,901,22.9,0.598,0.349,0.577,2.2,9.7,6,44.5,1.1,0.7,16.2,32.5,2.7,0.5,3.1,0.168,5.8,-1.5,4.3,1.4
Cody Zeller,C,28,CHA,15,361,18.2,0.569,0.133,0.242,11.4,24.3,17.7,15.2,1.3,2.5,9.5,17.3,0.8,0.5,1.2,0.161,0.4,0.6,1,0.3
Ivica Zubac,C,23,LAC,30,586,20.5,0.722,0.007,0.5,13.4,24.4,19.1,7.7,0.9,3.7,14.8,15.3,2,0.8,2.8,0.23,0.8,-0.3,0.5,0.4
Jaren Jackson,,,MEM,,,16.33,,,,,,,,,,,,,,,,,,,
Ersan Ilyasova,,,UTAH,,,13.64,,,,,,,,,,,,,,,,,,,
Nicolas Claxton,,,BKN,,,16.78,,,,,,,,,,,,,,,,,,,
Rondae Hollis-Jefferson,,,POR,,,10.95,,,,,,,,,,,,,,,,,,,
Kris Dunn,,,ATL,,,12.15,,,,,,,,,,,,,,,,,,,
Romeo Langford,,,BOS,,,5.54,,,,,,,,,,,,,,,,,,,
Trevor Ariza,,,MIA,,,10.62,,,,,,,,,,,,,,,,,,,
Justise Winslow,,,MEM,,,4.85,,,,,,,,,,,,,,,,,,,
Kevin Porter Jr.,,,HOU,,,12.08,,,,,,,,,,,,,,,,,,,